/*
/* "labels.csv" for the English language model.
/*
/* Following are the predefined labels :
/*
/*	";1,$;Concept;typeConcept;;0;",
/*	";1,$;Join;typeOther;;0;",
/*	";1,$;JoinReverse;typeOther;;0;",
/*	";1,$;NonRelevant;typeOther;;0;",
/*	";1,$;Punctuation;typeEndConcept;;0;",
/*	";1,$;Relation;typeRelation;;0;",
/*	";1,$;Numeric;typeOther;;0;",
/*	";1,$;Unknown;typeOther;;0;",
/*	";1,$;CapitalAll;typeAttribute;;0;",
/*	";1,$;CapitalInitial;typeAttribute;;0;",
/*	";1,$;CapitalMixed;typeAttribute;;0;",
/*	";1,$;NonSemantic;typeAttribute;;0;Entity(NonSemantic)",
/*	";1,$;User1;typeAttribute;;0;",
/*	";1,$;User2;typeAttribute;;0;",
/*	";1,$;User3;typeAttribute;;0;",
/*	";1,$;AlphaBetic;typeConcept;;0;",
/*	";1,$;Space;typeOther;;0;",
;1,10,20,40,50,55,60,62,65,70,71,75,77,78,79,81;ENAdv;typeOther;to deal with adverbs of several types;0;added phase 20;
;1,10,40,50;ENAdvAdj;typeAmbiguous;for words used as adverb or adjective;0;;
/*;1,10,40,50;ENAdvdegree;typeConcept;adverb of degree, extra label to ENAdvmandeg;0;;
;1,10,40,50;ENAdvdegree;typeOther;adverb of degree, extra label to ENAdvmandeg;0;;
;1,10,40,50,65,70,77,78,79,90,91,$;ENAdvdir;typeRelation;adverb of direction;0;;
;1,40,55,71,75,77,78,79,$;ENAdvDurCon;typeBeginEndConcept;concrete duration;0;;
;1,10,40,$;ENAdvDurPR;typePathRelevant;adverbs of duration;0;;
;1,10,40,$;ENAdvFreqPR;typePathRelevant;to differentiate vague frequency from vague time;0;;
;1,10,25,40,71,77,78,79,$;ENAdvFreqCon;typeBeginEndConcept;concrete frequency;0;;
;1,10,40,50,60,62,65,70,71,75,77,78,79,90,91,$;ENAdvmandeg;typeConcept;adverb of manner or degree;0;;
;1,10,40,50,55,60,62,65,70,71,77,78,79,81,90,91,$;ENAdvmodal;typeRelation;modal adverb;0;;
;1,10,20,40,50,55,60,62,65,70,71,75,77,78,79,90,$;ENAdvstruct;typeOther;NonRelevant Adverb;0;added phase 20;
/*;20,40,50,$;ENAdvbeforetime;typeConcept;Adverbs that modify ENTimecon;0;;
;1,10,40,50;ENAdvbeforetime;typeOther;Adverbs that modify ENTimecon;0;;
;1,10,20,25,26,40,55,62,65,70,71,75,77,78,79,$;ENAdvTime;typeBeginEndConcept;concrete time;0;;
;1,10,26,40,50,55,62,65,70,71,75,77,78,79,$;ENAdvTemp;typePathRelevant;vague time;0;;
;40,65,70,71,77,78,79;ENAdverb;typeOther;all adverbs, not in lexreps, only in rules;0;;
;55,65,70,77,78,79;ENAdverbAfter40;typeOther;copy of ENAdverb to save information for other rule phases;0;;

;1,10,40;ENAdvManner;typeOther;adverb of manner;0;;
;40,90,91,$;ENAdvFocus;typeRelation;focusing adverb;0;;
;1,40,90,91,$;ENCAdv;typeConcept;adverb disambiguated as Concept;0;;
;1,40,90,91,$;ENRAdv;typeRelation;adverb disambiguated as Relation;0;;

;1,10,20,25,32,40,50,55,60,62,65,70,71,75,77,78,79,90,91,$;ENArtPosspron;typeOther;articles, possessive pronouns etc.;0;added phase 20;
;1,40,90,$;ENArticle;typeOther;articles after disambiguation;0;;

;1,10,20,25,40,50,55,60,62,65,70,71,75,77,78,79,81,90,91,$;ENAux;typeRelation;auxiliary verbs;0;added phase 20;
;1,40,90,91,$;ENAuxPrespart;typeRelation;auxiliary verb before present participle;0;;
;1,10,40;ENAuxCon;typeAmbiguous;auxiliary verb or concept;0;;
;1,10,50,60,65,77,78,79,81,90,91,$;ENAuxneg;typeRelation;auxiliary with negation;0;;
;1,10,20,24,30,40,50,55,60,62,65,70,71,75,77,78,79,81,90,91,$;ENBe;typeRelation;forms of 'to be';0;added phase 20;
;1,40;ENBeforeBeginEnd;typeAmbiguous;label for ArtPosspron before BeginEndConcept;0;;
;1,10,40,50,62,65,70,71,77,78,79,$;ENBeginconcept;typeBeginConcept;concept word that has to be at the 1st position in a concept;0;;
;1,40,50,55,62,65,70,71,77,78,79,$;ENBeginendconcept;typeBeginEndConcept;to make a comma not a concept stopper between adjectives;0;;
;1,50,77,78,79,81,$;ENBeginrelation;typeBeginRelation;relation word that has to be at the 1st position in a relation;0;;
;1,10,40,70,77,78,79,90,91,$;ENBracketsnumber;typeConcept;for numbers between brackets;0;;
/*deleted: ;1,40;ENCollection14;typeOther;No Description;0;;
;1,10,20,50,55,60,65,70,77,78,79,90,91;ENConj;typeRelation;subordinate conjunction;0;added phase 10 and 20;
;40;ENConj40;typeRelation;subordinate conjunction, label for phase 40;0;;
;1,40,50;ENConpart2;typeConcept;last part of a name;0;;
;1,10,20,24,25,26,30,32,40,90,91,$;ENConTime;typeConcept;part of a time indication;0;added phase 20;
;1,10,20,24,25,26,30,40,90,91,$;ENConTimePlural;typeConcept;part of a time indication, for words in plural;0;added phase 20 and 30;
;1,40,90,91,$;ENCurrency;typeConcept;for currency acronyms;0;;
;1,10,20,25,26,30,40,50,62,65,70,71,77,78,79,90,91,$;ENDate;typeConcept;label for dates (months);0;added phase 20 and 30;
;1,20,25,40;ENDay;typeConcept;for days of the week;0;added phase 20;
;1,20,25;ENDaynum;typeConcept;for numbers 1 to 31;0;;
;1,10,20,25,40,50,55,60,62,65,70,71,77,78,79,90,$;ENDemonstr_pl;typeOther;‘(both) these’, ‘(both) those’;0;added phase 20;
;1,10,25,40,50,55,60,62,65,70,71,77,78,79,$;ENDemonstr_s;typeOther;this;0;;
;10,40,$;ENEndadj;typeEndConcept;independent adjective;0;new;
;1,40,50,65,70,71,75,77,78,79,80,$;ENEndconcept;typeEndConcept;last word of a concept;0;;
;1,20,25,40,50,$;ENEndoftime;typeEndConcept;ago, later, earlier;0;;
;1,50,$;ENEndrelation;typeEndRelation;last word of a relation, only used in rules;0;;
;1,40;ENEqcomp;typeOther;'as much as' and variants;0;;
;10,40,50,$;ENEverything;typePathRelevant;everything, everyone, everybody;0;;
;1,40;ENFirstName;typeConcept;common first name;0;;
/*;10,40;ENGet;typeRelation;get;0;;
;1,25,40;ENHour;typeConcept;for hour indications;0;;
;1,40,50,60,62;ENIndefpron;typeNonRelevant;several, various, such (a);0;;
;1,10,40,50,55,60,62,65,70,71,75,77,78,79,81,90,91,$;ENInf;typeRelation;infinitive;0;;
;1,10,25,40;ENInfCon;typeAmbiguous;infinitive or noun;0;;
;1,10,40;ENInfConAdj;typeAmbiguous;infinitive, adjective or noun;0;;
;1,10,40,50;ENInfAdj;typeAmbiguous;infinitive or adjective;0;;
;1,10,40;ENInfPartCon;typeAmbiguous;infinitive, past tense, participle, adj, noun;0;;
/*;1,10,40,50,$;ENIntensifier;typeConcept;second label to combine an adverb of degree with an adverb of time;0;;
/*;1,10,40,50;ENIntensifier;typeConcept;second label to combine an adverb of degree with an adverb of time;0;;
;1,10,40,50,65,70,71,77,78,79,81,90,91,$;ENLinkingverb;typeRelation;becomes seems appears;0;;
;1,10,40,50,$;ENListnumber;typeBeginEndConcept;numbers for list;0;;
;1,10,40,50,55,60,65,70,75,77,78,79,81,90,91,$;ENmAux;typeRelation;modal auxiliaries;0;;
;1,40;ENmAux2;typeRelation;auxiliaries for pattern ENAux-ENPerspron_Obj-ENInf;0;
;10,40,50,55,62,65,70,71,75,77,78,79,$;ENMod;typePathRelevant;PathRelevant entity;0;;
;1,20,25,40;ENMonthAbbr;typeConcept;for abbreviations of months (they don't always indicate months);0;added phase 20;
;1,40;ENNamepart1;typeConcept;for mr., mrs., dr., lt. etc.;0;;
;1,40,50;ENNamepart2;typeConcept;for ltd, inc. etc.;0;;
;1,50,55,65,70,71,77,78,79,90,$;ENNonrelevant;typeOther;label for disambiguation;0;;
;1,10,20,24,25,30,40,50,55,62,65,70,71,75,77,78,79,90,91,$;ENNumber;typeConcept;written numbers;0;;
;1,10,20,24,25,30,40,50,77,78,79,90,91,$;ENNum;typeConcept;for numbers written in numbers as opposed to ENNumber written in words;0;;
/*;1,20,90,91,$;ENNumberYear;typeConcept;for combination number and year eg. 1-year;0;;
;1,10,20,30,40,75,77,78,79,90,91,$;ENNumberPlural;typeConcept;for numbers in plural;0;;
;1,10,20,25,26,40,50,55,60,62,65,70,71,75,77,78,79,81,90,91,$;ENOf;typeRelation;of + some other prepositions;0;added phase 20;
;1,10,20,25,40;ENOrdNum;typeConcept;label for ordinal numbers;0;added phase 10;
;1,10,40;ENPart;typeAmbiguous;relation or modifier;0;;
;1,40;ENaPart;typeRelation;past participle, probably active and with auxiliary;0;;
;1,40;ENpPart;typeRelation;past participle, probably passive and without auxiliary;0;;
;1,40;ENapPart;typeRelation;past participle, probably passive and with auxiliary;0;;
/*;1,40,50,$;ENPart2;typeRelation;past participle, besides other label;0;; - not used anymore
;1,55,70,77,78,79;ENPartAfter40;typeRelation;extra label for past participles without a linking verb if they become relations;0;;
;1,40;ENPartCon;typeAmbiguous;past tense, participle, adj, noun;0;;
;1,10,20;ENPartofnum;typeConcept;for parts of numbers to be joined into one number;0;removed phase $;
;40,50,62,65,70,71,75,77,78,79,$;ENPathRelObj;typePathRelevant;possesive pronouns out of ENArtPosspron;0;;
;1,40,50,55,60,65,70,71,77,78,79,$;ENPerspron;typePathRelevant;everyone, nobody, no-one;0;;
;1,10,20,40,50,55,60,62,65,70,71,75;ENPerspron_obj;typePathRelevant;objectpron.;0;typeNonrelevant->PR, added phase 20;
;1,10,40,50,75,77,78,79,90,91,$;ENPerspron_refl;typeRelation;objectpron. en refl. pron.;0;;
;1,10,40,50,55,60,62,65,70,71,75,77,78,79;ENPerspron_subj;typePathRelevant;I, you, he, she, we, they;0;;
;1,65,70,71,77,78,79;ENPosspron;typePathRelevant;possessive pronoun with PR role after disambiguation, extra label next to PathRelObj;0;;
;1,40,50,65,70,77,78,79,$;ENPremod;typeBeginConcept;very;0;;
;1,10,40,50,77,78,79,81,$;ENPremod2;typeBeginConcept;much more;0;;
;1,10,40,50,65,70,71,75,77,78,79,90,91,$;ENPremod3;typeConcept;well;0;;
;1,10,20,25,26,30,40,50,55,60,62,65,70,71,75,77,78,79,81,90,91,$;ENPrep;typeRelation;prepositions and preposition-like word groups;0;added phase 20;
;1,10,25,40,75;ENPrepDuration;typeRelation;prepositions indicating a duration;0;;
;1,10,40;ENPrespart;typeAmbiguous;present participle;0;;
;1,10,20,25,30,40,55,62,65,70,71,75,77,78,79,$;ENQuantity;typeBeginConcept;hundreds of, thousands of;0;;
;1,10,40;ENQuantityTime;typeConcept;for quantity lexreps used in time expressions;0;;
;1,10,20,50,55,60,62,71,77,78,79,81,90,91,$;ENQuestion;typeRelation;question words;0;added phase 10 and 20;
;40;ENQuestion40;typeRelation;question words in phase 40;0;;
;1,10,25,40,50,55,60,62,65,70,71,75,77,78,79,81,90,91,$;ENRel;typeRelation;unambiguous relation;0;;
/*;1,10,25,40;ENRelOth;typeAmbiguous;relation or other;0;;
;1,10,25,40;ENRelOth;typeRelation;relation or other;0;preliminary solution: review lexreps labeled with RelOth;
/*;1,55,60,65,70,71;ENRPart;typeRelation;past participle which is (disambiguated as) relation;0;; - not used anymore
;1,10,26,40;ENsAdj;typeConcept;extra label for words ending on possessive 's;0;;
;1,25,26,40,90;ENTimes;typeConcept;once,twice,thrice,times;0;;
;1,10,50,55,60,65,70,71,77,78,79;ENVerb;typeRelation;verb form, not infinitive;0;added phase 10;
;1,40,90,91,$;ENVerbalprep;typeRelation;prepositions that can be part of a verb: up, off, out, down,..;0;
;1,10,20,40;ENVerbCon;typeAmbiguous;3rd p sg present verb form or plural noun;0;added phase 20;
;1,40;ENVerbCon2;typeAmbiguous;simple past verb form or singular noun;0;;
/*deleted: ;1,10,40;ENVerbConAdj;typeAmbiguous;conjugated verb, adjective or noun;0;;
;40,60;ENvRel;typeRelation;verbal relation -> verb form;0;;
;1,10,20,40,50,55,60,62,65,70,71,75,77,78,79,81,90,91,$;ENWhich;typeRelation;'which', 'that' etc.;0;added phase 10 and 20;
;1,10,20,25,26,30,40,50,90,91,$;ENYear;typeConcept;label for common years;0;added phase 20;
;1,10,20,25,40,90,91,$;ENYearNum;typeConcept;label for uncommon years;0;;

;1,20,25,40;ENAttradj;typeConcept;attributive adjective;0;new;
/*not in use yet: ;1,40,$;ENNewAttrpron;typePathRelevant;adjective-like pronoun;0;;
;1,40,$;ENNewIndefpron;typePathRelevant;indefinite pronoun, can be used independently;0;;

;1,25;ENHournum;typeConcept;number that can be used in clock time: 1-23;0;;
;1,25;ENWeeknum;typeConcept;number of a week: 1-53;0;;
;1,25;ENDaypart;typeConcept;morning, evening,...;0;;
;1,25;ENMonth;typeConcept;names of months;0;;



/* ===========================================================================================================
/* Attributes
/* ===========================================================================================================
/* Negation
;10,55,60,65,70,71,77,78,79,$;ENNegStop;typeAttribute;to end the negation span;0;;Path(End,Negation)
;60,$;ENNegBegin;typeAttribute;to begin the negation span;0;;Path(Begin,Negation)
;10,50,60,65,70,71,77,78,79,$;ENNegation;typeAttribute;negation marker;0;;Entity(Negation)
;60,65,71;ENInNegspan;typeAttribute;marker for lexreps in a negation span;0;;

/* Time
;1,25,26,30,75,$;AFrequency;typeAttribute;attribute for frequency indications;0;;Entity(Frequency)
;1,20,25,26,30,75,$;ADuration;typeAttribute;attribute for duration indications;0;added phase 20;Entity(Duration)
;1,$;ENTemp;typeAttribute;attribute for vague time indications;0;;Entity(DateTime)
;1,25,26,30,32,55,75,$;ATime;typeAttribute;attribute for concrete time indications;0;added phase 30;Entity(DateTime)
;1,25,40;ENTimeprep;typeAttribute;for time-related prepositions;0;;
;1,26,90;ENTimespanprep;typeAttribute;for lexreps that can belong to time indications;0;;
;1,25;ENDurindicator;typeAttribute;indicates that the following words may indicate duration;0;;
;1,26,90,$;ATimeBegin;typeAttribute;added for enabling path expansion;0;;Path(Begin,DateTime)
;1,26,90,$;ATimeStop;typeAttribute;added for enabling path expansion;0;;Path(End,DateTime)
;1,75,$;ENDateTimeBegin;typeAttribute;added for enabling path expansion;0;;Path(Begin,DateTime)
;1,75,$;ENDateTimeStop;typeAttribute;added for enabling path expansion;0;;Path(End,DateTime)
;1,25,26;Timerelated;typeAttribute;extra label for time-related lexreps;0;;
;1,25;ENTimezone;typeAttribute;gmt, cet,..., typeAttribute to avoid conflicts;0;;
;20,25;ENTimemodifier;typeAttribute;words that can be used as adverbs with dates, e.g. last, approximately, coming,...;0;new;
;1,40;ENAfterTime;typeAttribute;for lexreps following a time indication;0;;
;1,26,90,$;InTimespan;typeAttribute;marker for lexreps in a timespan;0;;
;40;Time40;typeAttribute;marker for lexpreps in a timespan, for use in phase40;0;;

/* Sentiment
;1,70,71,$;ENPosSentiment;typeAttribute;for sentiment markers;0;;Entity(PositiveSentiment)
;70,71,80,$;ENPosSentimentBegin;typeAttribute;to end the sentiment span;0;;Path(Begin,PositiveSentiment)
;70,71,80,$;ENPosSentimentStop;typeAttribute;to end the sentiment span;0;;Path(End,PositiveSentiment)
;1,70,71,$;ENNegSentiment;typeAttribute;for sentiment markers;0;;Entity(NegativeSentiment)
;70,71,80,$;ENNegSentimentBegin;typeAttribute;to end the sentiment span;0;;Path(Begin,NegativeSentiment)
;70,71,80,$;ENNegSentimentStop;typeAttribute;to end the sentiment span;0;;Path(End,NegativeSentiment)
;70;ENPossentConceptBegin;typeAttribute;begin of sentiment span for concept-type sentiment markers;0;;
;70;ENNegsentConceptBegin;typeAttribute;begin of sentiment span for concept-type sentiment markers;0;;
;70;ENPossentConceptStop;typeAttribute;end of sentiment span for concept-type sentiment markers;0;;
;70;ENNegsentConceptStop;typeAttribute;end of sentiment span for concept-type sentiment markers;0;;
;70,71;ENInPossentspan;typeAttribute;marker for lexreps in positive sentiment span;0;;
;70,71;ENInNegsentspan;typeAttribute;marker for lexreps in negative sentiment span;0;;
;70,71;ENNegatedPossent;typeAttribute;marker for positive sentiment markers in negation span;0;;
;70,71;ENNegatedNegsent;typeAttribute;marker for negative sentiment markers in negation span;0;;
;71,$;ENNRSentmarker;typeAttribute;marker for nonrelevant sentiment markers, allowing to make them Endrelation;0;;
;1,75,$;ENMeasurementBegin;typeAttribute;added for enabling path expansion;0;;Path(Begin,Measurement)
;1,75,$;ENMeasurementStop;typeAttribute;added for enabling path expansion;0;;Path(End,Measurement)

/* Measurement
;1,30,$;ENBloodpressure;typeAttribute;attribute for blood pressure;0;;Entity(Measurement)
;1,30,$;ENPrice;typeAttribute;attribute for prices;0;;Entity(Measurement)
;1,75,$;ENPercentage;typeAttribute;attribute for percentages;0;;
;1,10,20,30,$;ENAge;typeAttribute;attribute for age;0;added phase 10 and 20;Entity(Measurement)
;1,$;ENBeforeMeasurement;typeAttribute;attribute for expressions before measurements;0;;
;1,30,40;ENBeforeNoMeasurement;typeAttribute;marks items that precede numbers rather than measurements;0;added phase 30;
;1,30,$;ENMeasureIndicator;typeAttribute;another attribute for identifying ENBeforeMeasurement;0;;
;1,30,40,75,$;ENDistance;typeAttribute;attribute for distance;0;;Entity(Measurement)
;1,30,$;ENO2Saturation;typeAttribute;attribute for oxygen saturation;0;;Entity(Measurement)
;1,30,$;ENPulse;typeAttribute;attribute for pulse;0;;Entity(Measurement)
;1,30,75,$;ENSize;typeAttribute;attribute for size;0;;Entity(Measurement)
;1,30,$;ENSurface;typeAttribute;attribute for surface;0;;Entity(Measurement)
;1,30,$;ENTemperature;typeAttribute;attribute for temperature;0;;Entity(Measurement)
;1,10,30,32,75,$;ENUnit;typeAttribute;attribute for measurement units;0;;
;1,30,32,$;ENUnitProperty;typeAttribute;attribute for the Unit property;0;;Entity(Measurement,Unit)
;1,30,$;ENValue;typeAttribute;attribute for measurement values;0;;Entity(Measurement,Value)
;1,30,$;ENWeight;typeAttribute;attribute for weight;0;;Entity(Measurement)
;1,30,$;ENVolume;typeAttribute;attribute for volume;0;;Entity(Measurement)
;1,30,$;ENRespiration;typeAttribute;attribute for respiratory rate;0;;Entity(Measurement)
;1,30,75,$;ENMeasurement;typeAttribute;general attribute for all measurements;0;;Entity(Measurement)
;1,10,20,30,$;ENFraction;typeAttribute;fraction;0;added phase 20;
;75,$;ENNoMeasurement;typeAttribute;mark numbers that are not measurements;0;;
;75;ENInMeasspan;typeAttribute;marker for lexreps in a measurement span;0;;
;75,$;ENNumberPlusUnit2;typeAttribute;copy of NumberPlusUnit, not deleted in join rules;0;;
;1,30;ENPostmeas;typeAttribute;wide, long,...;0;;
;1,30;ENMeasindicator;typeAttribute;bmi, pulse,...;0;;
/*;1,20,30,40,75,77,78,79,$;ENNumberPlusUnit;typeConcept;general label for all numbers plus units without space;0;;Entity(Measurement,Value,Unit)
;1,10,20,24,25,30,75,77,78,79,$;ENNumberPlusUnit;typeAttribute;general label for all numbers plus units without space;0;changed type and deleted phase 40;Entity(Measurement,Value,Unit)
;1,20,25,30;ENNummodifier;typeAttribute;words that can be used as adverbs with numbers, e.g. around, over,...;0;new;
;1,20,24,25,30,75;ENBeforeAge;typeAttribute;label for lexreps that detect age, positioned before the value;0;added phase 20;

/* Certainty
/*;1,65,$;ENCertainty;typeAttribute;general attribute for certainty;0;;Entity(Certainty)
;1,65,$;ENCertBegin;typeAttribute;to begin the certainty span;0;;Path(Begin,Certainty)
;1,65,$;ENCertStop;typeAttribute;to end the certainty span;0;;Path(End,Certainty)
